Platform,Platform Location Name,Matched Store ID,Matched Shop Name,Match Method,Confidence,Notes
"doordash","Roby Dr - Hammond","IN170","IN170 Hammond Roby","address_city","1.00","city, street:roby, name"
"doordash","E 53rd - Davenport","IA069","IA069 Davenport E 53rd","address_city","1.00","city, street:53rd, name"
"doordash","Plank Rd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Sunset and Sandhill","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Kirkwood Hwy","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Lewes, DE","","","unmatched","0.00","No confident match found"
"doordash","Boulder Station","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","North Haven Ave","CA100425","CA100425 Ontario Haven","address_city","0.65","street:haven,ave, name"
"doordash","West Charleston","IL110507","IL110507 CK Chicago River West","address_city","0.61","city, name"
"doordash","Cheyenne and 215","CO231","CO231 CO Springs Cheyenne","address_city","0.40","street:cheyenne, name"
"doordash","Governor Ritchie","MD100298","MD100298 Pasadena Governor Ritchie","address_city","0.74","street:governor,ritchie, name"
"doordash","WVC High Market","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Waialae Ave","HI100392","HI100392 Honolulu Waialae","address_city","0.72","street:waialae,ave, name"
"doordash","Southern Highlands","NV059","NV059 Las Vegas Southern Highlands","address_city","0.74","street:southern,highlands, name"
"doordash","Zionsville","IN100333","IN100333 Zionsville Michigan","address_city","0.74","city, name"
"doordash","Red Rock Casino","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Ogletown Stanton","DE094","DE094 Newark Ogletown Stanton","address_city","0.74","street:ogletown,stanton, name"
"doordash","West Azure","NV043","NV043 Las Vegas Azure","address_city","0.65","street:west,azure, name"
"doordash","Aliante Casino","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Oso Blanca Rd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Princeton","NJ100463","NJ100463 Princeton Harrison","address_city","0.74","city, name"
"doordash","Nevada Way","NV048","NV048 Boulder City Nevada Hwy","address_city","0.61","street:nevada,way, name"
"doordash","Roanoke","VA100390","VA100390 Roanoke Brambleton","address_city","0.74","city, name"
"doordash","West Avera Dr","IL110507","IL110507 CK Chicago River West","address_city","0.61","city, name"
"doordash","Park Road Center","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","17th St Ammon","ID100423","ID100423 Ammon 17th","address_city","0.77","city, name"
"doordash","Interquest Parkway","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","State and 6100 S","UT154","UT154 Murray State and 6100 S","address_city","0.49","street:state, name"
"doordash","Elm St","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","South Sandhill Rd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Cranberry Township","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Magnolia Ave","CA100453","CA100453 Riverside Magnolia","address_city","0.72","street:magnolia,ave, name"
"doordash","S Fort Apache","NV035","NV035 Las Vegas Ft Apache","doordash_address","0.75","DD: 4825 S Fort Apache Rd Ste K, Las Vegas → NV035"
"doordash","Cheyenne Rd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Post Falls","ID100461","ID100461 Post Falls Beck","address_city","0.74","city, name"
"doordash","Frisco","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"grubhub","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","address_city","0.74","city, name"
"doordash","Whitesburg Dr (Medical District)","AL100520","AL100520 Huntsville Whitesburg","address_city","0.47","street:whitesburg, name"
"doordash","South Eastern Ave","NV026","NV026 Las Vegas Warm Springs","doordash_address","0.95","DD: 7291 South Eastern Ave, Las Vegas → NV026"
"doordash","Downtown Summerlin","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Sunset and Marks","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"grubhub","Capriotti's Sandwich Shop Catering ","","","unmatched","0.00","No confident match found"
"ubereats","Capriotti's Sandwich Shop (301 N Harrison St)","","","unmatched","0.00","No confident match found"
"doordash","Hightlands Ranch","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
