Platform,Platform Location Name,Suggested Store ID,Suggested Shop Name,Confidence,Match Method,Notes,Correct Store ID (FILL THIS IN)
"doordash","Downtown Summerlin","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Sunset and Marks","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"grubhub","Capriotti's Sandwich Shop Catering ","","","0.00","unmatched","No confident match found",""
"ubereats","Capriotti's Sandwich Shop (301 N Harrison St)","","","0.00","unmatched","No confident match found",""
"doordash","Hightlands Ranch","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"ubereats","Capriotti's Sandwich Shop (11350 S. Highlands Pkwy)","","","0.00","unmatched","No confident match found",""
"ubereats","Capriotti's (3655 Catclaw Dr)","","","0.00","unmatched","No confident match found",""
"grubhub","Capriotti's Sandwich Shop ","","","0.00","unmatched","No confident match found",""
"grubhub","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","0.74","address_city","city, name",""
"grubhub","Capriotti's Sandwich Shop Catering","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"grubhub","Capriottis Sandwich Shop","IL110507","IL110507 CK Chicago River West","0.74","address_city","city, name",""
"grubhub","Capriotti’s Sandwich Shop","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Regional Justice Ctr.","","","0.00","unmatched","No confident match found",""
"ubereats","Capriotti's Sandwich Shop (36101 Bob Hope Drive #G2)","","","0.00","unmatched","No confident match found",""
"doordash","E Silverado Ranch","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","E Robindale Road","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","E William Street","NV191","NV191 Carson City William","0.65","address_city","street:william,street, name",""
"doordash","Broadway - Tucson","AZ900482","AZ900482 Tucson Broadway","0.52","address_city","street:broadway, name",""
"doordash","Horizon Ridge","","","0.00","doordash_no_master","DD location exists (2654 W Horizon Ridge Pkwy, Henderson) but not in master list - needs manual review",""
"doordash","Meadows - Reno","NV067","NV067 Reno Meadows","0.77","address_city","city, name",""
"doordash","S Stanford Way","NV054","NV054 Sparks Stanford","0.65","address_city","street:stanford,way, name",""
"doordash","Maryland Pkwy","","","0.00","doordash_no_master","DD location exists (2602 S Maryland Pkwy, Las Vegas) but not in master list - needs manual review",""
"doordash","North Boulder Hwy","NV103","NV103 Henderson Boulder Hwy","0.77","address_city","street:north,boulder, name",""
"doordash","Plumb Lane","NV152","NV152 Reno Plumb Virginia","0.65","address_city","street:plumb,lane, name",""
"doordash","East Craig Road","NV031","NV031 N Las Vegas Craig","0.61","address_city","street:craig,road, name",""
"ubereats","Capriotti's Sandwich Shop (CA425)","","","0.00","unmatched","No confident match found",""
"grubhub","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","0.74","address_city","city, name",""
