Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
849098e1-c34e-456a-82a1-d29ba70c2b8d,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$1,021",11,21,20,""
ff23900e-6202-4069-b8db-53498ddf3a94,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$701",3,15,20,""
d4746ce5-a27c-4811-91c6-21e9747b1fe5,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$512",6,11,20,""
0d7998f4-a7fc-4c63-98ea-a11e62f37ff9,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$351",4,8,20,""
c2812332-87e2-4f09-a377-fbdc17620fe7,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$789",9,19,20,""
b0351b30-b863-495f-a6cf-4394374449a6,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$407",3,8,20,""
d2cd166b-e507-4bd8-a57c-12bf7978d5ec,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$77",0,2,20,""
36e2d654-85d4-4ed3-8190-6200d31ce28a,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$195",2,4,20,""
ff24192e-4e29-473e-a2c4-bf6a0c15df94,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$155",2,3,20,""
5a0d5541-e36c-45a6-812f-0aa6fcd32d32,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$103",1,2,20,""
eccfbc15-3bdb-4c21-98ca-09b7dbc39f12,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$1,197",7,21,20,""
974ce808-512c-4b58-980e-e3ef9875bc6e,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$565",8,11,20,""
1c0d8e43-1e88-46ee-9a89-b55f62e85163,"Spend 35, Save 8",COMPLETED,"Sep 14, 2025","Oct 15, 2025",1,"All customers","$234",3,6,20,""
1b6bcad0-8425-48aa-a292-1796c2d4456c,"20% off, up to $15 ",CANCELED,"Mar 17, 2025","Mar 17, 2026",1,"All customers","$0",0,0,0,""
