Location Code,Store Name,Street Address,City,State,Zip Code,External Store ID
11350 S. Highlands Pkwy,Capriotti's Sandwich Shop (11350 S. Highlands Pkwy),11350 S Highlands Pkwy,Las Vegas,NV,89141,59
NV034,Capriotti's Sandwich Shop (NV034),11010 Lavender Hills Dr Ste 160,Las Vegas,NV,89135,34|15619
NV041,Capriotti's Sandwich Shop (NV041),9620 Las Vegas Blvd S Suite E5,Las Vegas,NV,89123,41|15625
NV026,Capriotti's Sandwich Shop (NV026),1311 W Craig Rd Suite E,North Las Vegas,NV,89032,26|15613
PA220,Capriotti's Sandwich Shop (PA220),5585 Hamilton Blvd Unit F,Allentown,PA,18106,PA220|146129
PA032,Capriotti's Sandwich Shop (PA032),877 E Baltimore Pike,Kennett Square,PA,19348,32|15618
PA080,Capriotti's Sandwich Shop (PA080),10 Liberty Blvd,Malvern,PA,19355,80|15655
PA006,Capriotti's Sandwich Shop (PA006),607 E Market St,West Chester,PA,19382,pa006|15594
SC237,Capriotti's Sandwich Shop (SC237),810 Brayden Pkwy,Fort Mill,SC,29708,237|162819
SD162,Capriotti's Sandwich Shop (SD162),2504 S Marion Rd,Sioux Falls,SD,57106,SD162|63708
SD187,Capriotti's Sandwich Shop (SD187),3617 W Avera Dr,Sioux Falls,SD,
