BEGIN COPY
grubhub_store_id,store_number,store_name,street_address,city,state,postal_code,order_time_zone
4390440,,Capriotti's Sandwich Shop,11100 North Michigan RoadSTE 103,Zionsville,IN,46077,America/New_York
5258464,,Capriotti's Sandwich Shop,11902 W 119th St,Overland Park,KS,66210,America/Chicago
1256603,MD118,Capriotti's Sandwich Shop,2285 Forest Dr,Annapolis,MD,21401,America/New_York
3354735,,Capriotti's Sandwich Shop,18B Bel Air S Pkwy,Bel Air,MD,21015,America/New_York
2710087,MD086,Capriotti's Sandwich Shop,106 Marlboro Ave,Easton,MD,21601,America/New_York
2745349,MD013,Capriotti's Sandwich Shop,202 S Bridge St,Elkton,MD,21921,America/New_York
5119424,,Capriotti's Sandwich Shop,887 Maryland 3, STE 400,Gambrills,MD,21054,America/New_York
4703752,,Capriotti's Sandwich Shop,8036 Ritchie HighwaySuite 1D-2,Pasadena,MD,21122,America/New_York
11285352,Anoka,Capriotti's Sandwich Shop,601 E Main St,Anoka,MN,55303,America/Chicago
3195789,,Capriotti's Sandwich Shop,10406 NE Cookingham Dr,Kansas City,MO,64157,America/Chicago
7715600,412,Capriotti's Sandwich Shop,9532 Manchester Rd,St. Louis,MO,63119,America/Chicago
11448488,Pearl Riverwind East,Capriotti's Sandwich Shop,190 Riverwind E Dr,Pearl,MS,39208,America/Chicago
6099744,,Capriotti's Sandwich Shop,2040 Freeman Park Drive,Charlotte,NC,28273,America/New_York
7874720,407,Capriotti's Sandwich Shop,4323 Park Rd,Charlotte,NC,28209,America/New_York
12040168,Marlton,Capriotti's Sandwich Shop,1041 NJ-73,Evesham,NJ,08053,America/New_York
10374016,NJ100463,Capriotti's Sandwich Shop,301 N Harrison St,Princeton,NJ,08540,America/New_York
1026823,NV048,Capriotti's Sandwich Shop,1010 Nevada Way,Boulder City,NV,89005,America/Los_Angeles
7619600,191,Capriotti's Sandwich Shop,2190 E William St,Carson City,NV,89701,America/Los_Angeles
1026776,NV040,Capriotti's Sandwich Shop,90 S Stephanie St,Henderson,NV,89012,America/Los_Angeles
1278529,NV103,Capriotti's Sandwich Shop,170 N Boulder Hwy,Henderson,NV,89015,America/Los_Angeles
1026731,NV034,Capriotti's Sandwich Shop,11155 S Eastern Ave,Henderson,NV,89052,America/Los_Angeles
1278532,NV051,Capriotti's Sandwich Shop,771 E Horizon Dr Ste 128,Henderson,NV,89015,America/Los_Angeles
321666,NV062,Capriotti's Sandwich Shop,2300 Paseo Verde Pkwy,Henderson,NV,89052,America/Los_Angeles
2421104,,Capriottis Sandwich Shop,3455 St Rose Pkwy,Henderson,NV,89052,America/Los_Angeles
695584,NV139,Capriotti's Sandwich Shop,7540 Oso Blanca Rd,Las Vegas,NV,89149,America/Los_Angeles
311881,NV031,Capriotti's Sandwich Shop,1311 W. Craig Road, E,Las Vegas,NV,89032,America/Los_Angeles
1414782,NV059,Capriotti's Sandwich Shop,11350 Southern Highlands Pkwy,Las Vegas,NV,89141,America/Los_Angeles
384341,NV041,Capriotti's Sandwich Shop,1200 N Town Center Dr,Las Vegas,NV,89144,America/Los_Angeles
321675,NV056,Capriotti's Sandwich Shop,325 N Nellis Blvd Ste 120,Las Vegas,NV,89110,America/Los_Angeles
321680,NV049,Capriotti's Sandwich Shop,6965 S Rainbow Blvd Ste 104,Las Vegas,NV,89118,America/Los_Angeles
384541,NV024,Capriotti's Sandwich Shop,3830 E Flamingo St,Las Vegas,NV,89121,America/Los_Angeles
1257294,NV023,Capriotti's Sandwich Shop,4983 W Flamingo Rd Ste D,Las Vegas,NV,89103,America/Los_Angeles
705371,NV026,Capriotti's Sandwich Shop,7291 S Eastern Ave Ste F,Las Vegas,NV,89119,America/Los_Angeles
695568,NV021,Capriotti's Sandwich Shop,7440 W Cheyenne Ave Ste 101,Las Vegas,NV,89128,America/Los_Angeles
7806768,478,Capriotti's Sandwich Shop,7720 S Las Vegas Blvd,Las Vegas,NV,89123,America/Los_Angeles
321876,NV075,Capriotti's Sandwich Shop,4949 N Rancho Dr,Las Vegas,NV,89130,America/Los_Angeles
8585264,NV019,Capriotti's Sandwich Shop,6340 W Charleston Blvd,Las Vegas,NV,89146,America/Los_Angeles
1026872,NV142,Capriotti's Sandwich Shop,5020 Blue Diamond Rd,Las Vegas,NV,89139,America/Los_Angeles
695705,NV147,Capriotti's Sandwich Shop,3355 Novat St Ste 150,Las Vegas,NV,89129,America/Los_Angeles
1257296,NV043,Capriotti's Sandwich Shop,7240 W Azure Dr Ste 155,Las Vegas,NV,89130,America/Los_Angeles
10474496,NV100486,Capriotti's Sandwich Shop,3720 Sunset Rd,Las Vegas,NV,89120,America/Los_Angeles
1013073,NV022,Capriotti's Sandwich Shop,8450 W Sahara Ave Ste 116,Las Vegas,NV,89117,America/Los_Angeles
321694,NV035,Capriotti's Sandwich Shop,4825 S Fort Apache Rd Ste K,Las Vegas,NV,89147,America/Los_Angeles
321427,NV044,Capriotti's Sandwich Shop,11011 W Charleston Blvd,Las Vegas,NV,89135,America/Los_Angeles
1026827,NV058,Capriotti's Sandwich Shop,8090 Blue Diamond Rd,Las Vegas,NV,89178,America/Los_Angeles
3285348,,Capriotti's Sandwich Shop,4111 Boulder Hwy,Las Vegas,NV,89121,America/Los_Angeles
1278416,NV036,Capriotti's Sandwich Shop,9620 Las Vegas Blvd S Ste E5,Las Vegas,NV,89123,America/Los_Angeles
516741,NV028,Capriotti's Sandwich Shop,4480 Paradise Rd,Las Vegas,NV,89169,America/Los_Angeles
1278614,NV008,Capriotti's Sandwich Shop,322 W Sahara Ave,Las Vegas,NV,89102,America/Los_Angeles
1278731,NV121,Capriotti's Sandwich Shop,11010 Lavender Hill Dr Ste 160,Las Vegas,NV,89135,America/Los_Angeles
1945745,,Capriottis Sandwich Shop,1122 S Maryland Pkwy,Las Vegas,NV,89104,America/Los_Angeles
1407053,NV126,Capriotti's Sandwich Shop,2620 Nature Park Dr,North Las Vegas,NV,89084,America/Los_Angeles
347944,NV055,Capriotti's Sandwich Shop,7300 N Aliante Pkwy,North Las Vegas,NV,89084,America/Los_Angeles
1278807,,Capriotti’s Sandwich Shop,3820 E Craig Rd,North Las Vegas,NV,89030,America/Los_Angeles
1414880,NV079,Capriotti's Sandwich Shop,810 N Sierra St,Reno,NV,89503,America/Los_Angeles
7619608,152,Capriotti's Sandwich Shop,1280 E Plumb Ln,Reno,NV,89502,America/Los_Angeles
1408880,NV067,Capriotti's Sandwich Shop,5140 Kietzke Lne,Reno,NV,89511,America/Los_Angeles
2051422,NV054,Capriotti's Sandwich Shop,1530 S Stanford Way Ste B,Sparks,NV,89431,America/Los_Angeles
9232784,467,Capriotti's Sandwich Shop,142 Los Altos Pkwy,Sparks,NV,89436,America/Los_Angeles
3293431,268,Capriotti's Sandwich Shop,373 Smithtown Bypass,Hauppauge,NY,11788,America/New_York
6879672,419,Capriotti's Sandwich Shop,6442 S Raccoon Rd,Canfield,OH,44406,America/New_York
10859640,Warren,Capriotti's Sandwich Shop,2484 Niles Cortland Rd SE,Warren,OH,44484,America/New_York
2794757,OK213,Capriotti's Sandwich Shop,915 E Kenosha Street,Broken Arrow,OK,74012,America/Chicago
5579360,,Capriotti's Sandwich Shop,8115 S Olympia Ave W,Tulsa,OK,74132,America/Chicago
