Store ID,Store Name,Business ID,Merchant Store ID,Transactions Start Local Date,Transactions End Local Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Credit,Debit,Estimated Payout,Tax Remitted by DoorDash to State,Subtotal for tax,DoorDash Funded Subtotal Discount Amount | (for historical reference only),Merchant Funded Subtotal Discount Amount | (for historical reference only),Merchant funded loyalty discount amount,External Gift Card Credit Amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip,Snap Ebt Discount,Tax Remitted by DoorDash on Fees DoorDash Charges to Merchant,Other Merchant Fee,Bottle Deposit Fee,Bottle Deposit Fee Tax,Discounts,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Staff Tip,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
719271,Sierra St - Reno,2324,NV079,2025-09-15,2025-09-21,USD,8997.96,0.00,1104.25,0.00,0.00,421.99,0.00,196.83,44.75,-79.91,7115.44,7080.58,45.05,7035.53,691.66,8504.35,11.98,346.75,79.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-60.95,0.00,0.00,133.44,0.00,0.00,196.83,-346.75,-11.98,0.00,-389.21,11.98,0.00,-79.91
874359,Pioneer Pkwy,2324,UT160,2025-09-15,2025-09-21,USD,628.31,45.56,37.73,0.00,0.00,47.51,0.00,23.42,4.02,-2.00,576.09,578.11,4.02,574.09,0.00,587.71,0.00,38.60,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.97,0.00,0.00,23.42,-38.60,0.00,0.00,-22.88,0.00,0.00,-2.00
1007892,Maryland Pkwy,2324,NV151,2025-09-15,2025-09-21,USD,3222.56,0.00,212.64,0.00,0.00,108.90,0.00,98.61,11.51,-68.91,2797.68,2740.28,11.51,2728.77,253.71,3028.59,8.97,90.09,68.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.97,0.00,0.00,82.96,0.00,0.00,98.61,-90.09,-8.97,0.00,-91.32,8.97,0.00,-68.91
1018616,Douglas Blvd,2324,CA171,2025-09-15,2025-09-21,USD,3691.44,255.08,492.61,0.00,0.00,152.89,0.00,54.58,9.48,-21.98,3241.61,3229.11,9.48,3219.63,0.00,3518.28,5.00,122.20,21.98,0.00,50.86,237.24,0.00,0.00,325.29,0.00,0.00,0.00,0.00,0.00,-28.98,0.00,0.00,40.10,0.00,0.00,54.58,-122.20,-5.00,0.00,-66.12,5.00,0.00,-21.98
1053361,E William Street,2324,NV191,2025-09-15,2025-09-21,USD,5527.60,0.00,450.42,0.00,0.00,182.81,0.00,177.60,25.42,-4.52,4755.64,4776.54,25.42,4751.12,398.38,5323.03,22.00,150.14,17.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.49,0.00,0.00,127.65,0.00,0.00,177.60,-150.14,-22.00,0.00,-181.44,22.00,0.00,-4.52
1084955,University Ave,2324,IA190,2025-09-15,2025-09-21,USD,3677.41,0.00,377.00,0.00,0.00,171.09,0.00,116.18,16.79,-70.37,3008.08,2954.50,16.79,2937.71,241.98,3457.72,18.74,135.45,32.53,37.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.97,0.00,0.00,71.70,0.00,0.00,116.18,-135.45,-18.74,0.00,-151.60,18.74,0.00,-70.37
1335286,St Rose Pkwy,2324,NV168,2025-09-15,2025-09-21,USD,4604.81,0.00,376.91,0.00,0.00,108.58,0.00,191.13,5.00,-53.49,4130.14,4081.65,5.00,4076.65,369.80,4415.47,39.05,85.81,53.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.99,0.00,0.00,98.41,0.00,0.00,191.13,-85.81,-39.05,0.00,-88.68,39.05,0.00,-53.49
1370229,Grand Ave-Portland,2324,OR228,2025-09-15,2025-09-21,USD,8698.59,0.00,1152.17,0.00,0.00,1143.92,0.00,206.93,191.89,-26.50,5853.89,6019.28,191.89,5827.39,0.00,7650.32,36.10,1010.27,26.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.50,0.00,0.00,76.15,0.00,0.00,206.93,-1010.27,-27.99,-8.11,-609.65,27.99,8.11,-26.50
1581092,Palm Ave - Fresno,2324,CA197,2025-09-15,2025-09-21,USD,4875.14,378.81,559.65,0.00,0.00,224.43,0.00,38.08,3.19,-85.58,4177.62,4095.23,3.19,4092.04,0.00,4537.78,24.30,184.83,85.58,0.00,95.26,266.62,0.00,0.00,379.38,0.00,0.00,0.00,0.00,0.00,-66.95,0.00,0.00,68.61,0.00,0.00,38.08,-184.83,-24.30,0.00,-231.18,24.30,0.00,-85.58
1616214,South  Walton Blvd,2324,AR100196,2025-09-15,2025-09-21,USD,6873.33,0.00,728.69,0.00,0.00,235.09,0.00,184.69,3.77,-42.82,5824.80,5785.75,3.77,5781.98,689.41,6567.29,40.75,194.50,42.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.97,0.00,0.00,123.60,0.00,0.00,184.69,-194.50,-33.75,-7.00,-147.69,33.75,7.00,-42.82
1617804,"Capriotti's of Dover, Inc.",2324,1617804,2025-09-15,2025-09-21,USD,2757.06,0.00,0.00,0.00,0.00,0.00,0.00,132.81,0.00,-76.31,2765.19,2692.33,3.45,2688.88,0.00,2669.76,0.00,0.00,76.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.99,3.15,0.00,110.54,0.00,0.00,132.81,0.00,0.00,0.00,0.00,0.00,0.00,-76.31
1636430,"Capriotti's of Milford, LLC",2324,1636430,2025-09-15,2025-09-21,USD,4548.59,0.00,407.29,0.00,0.00,284.06,0.00,0.00,49.36,-45.33,3537.03,3544.51,52.81,3491.70,0.00,4205.91,19.58,251.39,45.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-45.96,3.15,0.00,79.84,0.00,0.00,0.00,-251.39,-10.00,-9.58,-174.57,10.00,9.58,-45.33
