Business ID,Business name,Store ID,Store name,Timestamp local time,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Commission,Merchant fees,Tax (merchant fees),Marketing fees,Customer discounts,DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Payout date,Payout ID
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-05 20:45:01.666129,16041135223,09D9FAC5,e7860c7d-8cff-41a4-b369-e4127768842f,Order,Storefront,NULL,3.00,0.28,0.00,0.00,0.00,-0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-05 15:51:35.313946,16037316759,2B843F16,41df6ac5-f8a6-4515-8b50-3f9fb25f34cc,Order,Marketplace,NULL,45.00,4.16,0.00,0.00,-6.75,0.00,0.00,-11.22,0.00,0.00,0.00,0.00,0.00,31.19,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-05 15:51:34.486679,16037316516,2B843F16,41df6ac5-f8a6-4515-8b50-3f9fb25f34cc,Order,Marketplace,NULL,-45.00,-4.16,0.00,0.00,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-42.41,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-05 15:36:16.226285,16037077328,2B843F16,41df6ac5-f8a6-4515-8b50-3f9fb25f34cc,Order,Marketplace,NULL,45.00,4.16,0.00,0.00,-6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.41,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-05 14:49:31.387809,16036470329,E1B03E3E,aca1a759-3507-4a7c-ad5b-96558d784365,Order,Marketplace,NULL,194.00,17.11,0.00,0.00,-27.75,0.00,0.00,-0.99,-9.00,0.00,0.00,0.00,0.00,173.37,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-05 13:38:49.707924,16035725027,F45BD5D5,27fedd73-cd69-43fe-9c15-2d72eec07587,Order,Storefront,NULL,12.00,1.11,0.00,0.00,0.00,-0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.43,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-04 20:45:01.588245,16030381776,BF9BB593,b3d82681-6a91-4510-bbde-312a90c94058,Order,Storefront,NULL,3.00,0.28,0.00,0.00,0.00,-0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.88,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-04 18:53:56.890152,16029415404,815E7441,21111b75-5b9d-42b5-a603-edd3af4040ff,Order,Marketplace,NULL,52.00,4.81,0.00,0.00,-7.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.01,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-04 18:39:01.405278,16029246304,DA092F46,76a23b0f-4b1f-4d7e-b09f-0f2340a3898f,Order,Marketplace,NULL,68.00,5.37,0.00,0.00,-8.70,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,53.68,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-04 18:37:07.598657,16029222585,D15C768B,fca156a1-68a0-455a-a64b-bf5bae4612e4,Order,Marketplace,NULL,48.00,2.22,0.00,0.00,-1.44,0.00,0.00,-0.99,-24.00,0.00,0.00,0.00,0.00,23.79,NULL,NULL
