"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-10-06","2025-10-12","1278416","NV036","Capriotti's Sandwich Shop","9620 Las Vegas Blvd S Ste E5  ","Las Vegas","NV","89123","7","156.46","0.00","0.00","12.42","0.00","168.88","-15.66","-15.66","0.00","0.00","-12.42","-8.00","117.14"
"2025-10-06","2025-10-12","10474496","NV100486","Capriotti's Sandwich Shop","3720 Sunset Rd  ","Las Vegas","NV","89120","5","175.74","0.00","0.00","14.72","0.00","190.46","-17.59","-17.59","0.00","0.00","-14.72","0.00","140.56"
"2025-10-06","2025-10-12","9235576","CO100236","Capriotti's Sandwich Shop","5715 Atrium Dr  ","Castle Rock","CO","80108","5","107.41","0.00","0.00","8.71","0.00","116.12","-10.75","-8.37","0.00","0.00","-8.71","0.00","88.29"
"2025-10-06","2025-10-12","3265301","PA016","Capriotti's Sandwich Shop","607 E Market St  ","West Chester","PA","19382","13","297.00","0.00","0.00","17.81","0.00","314.81","-29.73","-24.50","0.00","0.00","-17.81","0.00","242.77"
"2025-10-06","2025-10-12","2598895","CA197","Capriotti's Sandwich Shop","5058 N Palm Ave ","Fresno","CA","93704","13","445.11","0.00","0.00","37.14","0.00","482.25","-44.54","-43.34","0.00","0.00","0.00","0.00","394.37"
"2025-10-06","2025-10-12","10374016","NJ100463","Capriotti's Sandwich Shop","301 N Harrison St  ","Princeton","NJ","08540","9","294.52","0.00","0.00","19.51","0.00","314.03","-29.47","-17.92","0.00","0.00","0.00","0.00","266.64"
"2025-10-06","2025-10-12","5452752","CA100321","Capriotti's Sandwich Shop","2888 E Shepherd Ave  ","Fresno","CA","93720","5","144.16","0.00","0.00","12.04","0.00","156.20","-14.42","-12.38","0.00","0.00","0.00","0.00","129.40"
"2025-10-06","2025-10-12","1044845","DE009","Capriotti's Sandwich Shop","430 Eden Cir  ","Bear","DE","19701","16","402.60","0.00","0.00","0.00","0.00","402.60","-40.64","-38.30","0.00","0.00","0.00","-38.00","285.66"
"2025-10-06","2025-10-12","705371","NV026","Capriotti's Sandwich Shop","7291 S Eastern Ave Ste F ","Las Vegas","NV","89119","7","200.15","0.00","0.00","16.76","0.00","216.91","-20.03","-20.03","0.00","0.00","-16.76","0.00","160.09"
"2025-10-06","2025-10-12","9232784","NV900467","Capriotti's Sandwich Shop","142 Los Altos Pkwy  ","Sparks","NV","89436","11","268.99","0.00","0.00","22.24","0.00","291.23","-26.92","-19.46","0.00","0.00","-22.24","0.00","222.61"
"2025-10-06","2025-10-12","6190960","FL100383","Capriotti's Sandwich Shop","3817 Northdale Blvd   ","Tampa","FL","33618","7","196.71","0.00","0.00","11.75","0.00","208.46","-19.69","-19.69","0.00","0.00","0.00","-40.00","129.08"
"2025-10-06","2025-10-12","321876","NV075","Capriotti's Sandwich Shop","4949 N Rancho Dr ","Las Vegas","NV","89130","7","413.40","0.00","0.00","34.64","0.00","448.04","-41.35","-41.35","0.00","0.00","-34.64","0.00","330.70"
"2025-10-06","2025-10-12","2051422","NV054","Capriotti's Sandwich Shop","1530 S Stanford Way Ste B  ","Sparks","NV","89431","11","281.15","0.00","0.00","23.25","0.00","304.40","-28.14","-22.12","0.00","0.00","-23.25","0.00","230.89"
"2025-10-06","2025-10-12","3203833","FL100238","Capriotti's Sandwich Shop","1948 Collier Pkwy  ","Lutz","FL","33549","2","84.63","0.00","0.00","5.93","0.00","90.56","-8.47","-8.47","0.00","0.00","0.00","0.00","73.62"
"2025-10-06","2025-10-12","1026872","NV142","Capriotti's Sandwich Shop","5020 Blue Diamond Rd  ","Las Vegas","NV","89139","6","135.06","0.00","0.00","11.29","0.00","146.35","-13.52","-12.14","0.00","0.00","-11.29","0.00","109.40"
"2025-10-06","2025-10-12","7993648","AL100443","Capriotti's Sandwich Shop","461 John Henry Way  ","Madison","AL","35758","3","82.35","0.00","0.00","6.59","0.00","88.94","-9.74","-9.74","0.00","0.00","-6.59","0.00","62.87"
"2025-10-06","2025-10-12","3216399","IA090","Capriotti's Sandwich Shop","4640 1st Ave SE  ","Cedar Rapids","IA","52402","3","54.06","0.00","0.00","3.78","0.00","57.84","-5.65","-5.65","0.00","0.00","-3.78","0.00","42.76"
"2025-10-06","2025-10-12","1477229","DE002","Capriotti's Sandwich Shop","708 West Basin Rd ","Wilmington Manor","DE","19720","6","256.54","0.00","0.00","0.00","0.00","256.54","-25.67","-20.71","0.00","0.00","0.00","0.00","210.16"
"2025-10-06","2025-10-12","3293177","CO100245","Capriotti's Sandwich Shop","7939 E Arapahoe Rd  ","Greenwood Village","CO","80112","5","117.60","0.00","0.00","8.53","0.00","126.13","-11.77","-11.77","0.00","0.00","-8.53","0.00","94.06"
"2025-10-06","2025-10-12","11352080","CA100265","Capriotti's Sandwich Shop","12831 Moreno Beach Dr  ","Moreno Valley","CA","92555","6","182.29","0.00","0.00","14.13","0.00","196.42","-18.24","-18.24","0.00","0.00","0.00","0.00","159.94"
"2025-10-06","2025-10-12","280862","AZ081","Capriotti's Sandwich Shop","15227 N 87th St Ste 107 ","Scottsdale","AZ","85260","10","328.63","0.00","0.00","21.63","0.00","350.26","-32.89","-32.89","0.00","0.00","0.00","-60.00","224.48"
"2025-10-06","2025-10-12","7044336","IL100206","Capriotti's Sandwich Shop Catering ","1730 W Fullerton Ave  ","Chicago","IL","60614","1","306.37","0.00","0.00","0.00","0.00","306.37","-30.64","-30.64","0.00","0.00","0.00","0.00","245.09"
"2025-10-06","2025-10-12","7715600","MO100412","Capriotti's Sandwich Shop","9532 Manchester Rd  ","St. Louis","MO","63119","6","227.09","0.00","0.00","25.50","0.00","252.59","-22.72","-22.72","0.00","0.00","0.00","0.00","207.15"
"2025-10-06","2025-10-12","3235323","PA014","Capriotti's Sandwich Shop","301 Byers Dr  ","Glen Mills","PA","19342","4","174.86","0.00","0.00","10.49","0.00","185.35","-17.49","-17.49","0.00","0.00","-10.49","0.00","139.88"
"2025-10-06","2025-10-12","10886048","Chicago","Capriotti's Sandwich Shop","850 W Superior St  ","Chicago","IL","60642","42","1376.54","0.00","0.00","155.04","0.00","1531.58","-137.73","-137.73","0.00","0.00","-155.04","-57.00","1044.08"
"2025-10-06","2025-10-12","1408880","NV067","Capriotti's Sandwich Shop","5140 Kietzke Lne  ","Reno","NV","89511","20","578.49","0.00","0.00","44.43","0.00","622.92","-59.68","-54.18","0.00","0.00","-44.43","-41.00","423.63"
"2025-10-06","2025-10-12","1251336","CA164","Capriotti's Sandwich Shop","9171 De Soto Ave Ste E  ","Chatsworth","CA","91311","23","924.72","0.00","0.00","90.16","0.00","1014.88","-92.52","-88.67","0.00","0.00","0.00","-180.90","652.79"
"2025-10-06","2025-10-12","7874720","NC100407","Capriotti's Sandwich Shop","4323 Park Rd  ","Charlotte","NC","28209","4","70.21","0.00","0.00","4.89","0.00","75.10","-8.98","-6.52","0.00","0.00","-4.89","-11.00","43.71"
"2025-10-06","2025-10-12","1407053","NV126","Capriotti's Sandwich Shop","2620 Nature Park Dr ","North Las Vegas","NV","89084","15","445.87","0.00","0.00","37.32","0.00","483.19","-44.62","-34.68","0.00","0.00","-37.32","0.00","366.57"
"2025-10-06","2025-10-12","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","10","451.32","0.00","0.00","39.49","0.00","490.81","-45.15","-45.15","0.00","0.00","0.00","0.00","400.51"
"2025-10-06","2025-10-12","2421104","NV168","Capriottis Sandwich Shop","3455 St Rose Pkwy ","Henderson","NV","89052","12","439.75","0.00","0.00","36.84","0.00","476.59","-44.00","-41.25","0.00","0.00","-36.84","0.00","354.50"
"2025-10-06","2025-10-12","2262704","DE007","Capriotti's Sandwich Shop","321 Independence Blvd ","Dover","DE","19904","8","213.17","0.00","0.00","0.00","0.00","213.17","-22.90","-22.90","0.00","0.00","0.00","-5.00","162.37"
"2025-10-06","2025-10-12","1026827","NV058","Capriotti's Sandwich Shop","8090 Blue Diamond Rd  ","Las Vegas","NV","89178","8","311.91","0.00","0.00","26.10","0.00","338.01","-31.20","-22.40","0.00","0.00","-26.10","0.00","258.31"
"2025-10-06","2025-10-12","8995856","CA100377","Capriotti's Sandwich Shop","4041 Sunrise Blvd  ","Rancho Cordova","CA","95742","7","180.76","0.00","0.00","15.96","0.00","196.72","-19.66","-12.35","0.00","0.00","0.00","0.00","164.71"
"2025-10-06","2025-10-12","7357064","CA 171","Capriotti's Sandwich Shop","4060 Douglas Blvd  ","Granite Bay","CA","95746","14","428.13","0.00","0.00","31.04","0.00","459.17","-45.60","-44.58","0.00","0.00","0.00","0.00","368.99"
"2025-10-06","2025-10-12","5896776","CO100410","Capriotti's Sandwich Shop","5856 Barnes Rd  ","Colorado Springs","CO","80922","23","760.95","0.00","0.00","52.29","0.00","813.24","-77.14","-77.14","0.00","0.00","-52.29","-123.00","483.67"
"2025-10-06","2025-10-12","695568","NV021","Capriotti's Sandwich Shop","7440 W Cheyenne Ave Ste 101 ","Las Vegas","NV","89128","8","186.50","0.00","0.00","15.63","0.00","202.13","-18.92","-16.34","0.00","0.00","-15.63","0.00","151.24"
